"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 29 09:24:10 UTC 2025","Sun Jun 29 09:24:10 UTC 2025","134","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 5 of 10",""
"passed","Sun Jun 29 09:24:11 UTC 2025","Sun Jun 29 09:24:12 UTC 2025","160","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 6 of 10",""
"passed","Sun Jun 29 09:24:07 UTC 2025","Sun Jun 29 09:24:07 UTC 2025","137","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContactWithStreet","Request for adding a Contact that contains 'street' field in its payload repetition 3 of 3",""
"passed","Sun Jun 29 09:24:11 UTC 2025","Sun Jun 29 09:24:11 UTC 2025","154","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 1 of 10",""
"passed","Sun Jun 29 09:24:10 UTC 2025","Sun Jun 29 09:24:10 UTC 2025","145","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 7 of 10",""
"passed","Sun Jun 29 09:24:09 UTC 2025","Sun Jun 29 09:24:09 UTC 2025","115","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 19 of 20",""
"passed","Sun Jun 29 09:24:08 UTC 2025","Sun Jun 29 09:24:08 UTC 2025","106","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 10 of 20",""
"passed","Sun Jun 29 09:24:10 UTC 2025","Sun Jun 29 09:24:11 UTC 2025","132","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 10 of 10",""
"passed","Sun Jun 29 09:24:08 UTC 2025","Sun Jun 29 09:24:08 UTC 2025","97","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 8 of 20",""
"passed","Sun Jun 29 09:24:08 UTC 2025","Sun Jun 29 09:24:08 UTC 2025","101","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 13 of 20",""
"passed","Sun Jun 29 09:24:10 UTC 2025","Sun Jun 29 09:24:10 UTC 2025","130","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 9 of 10",""
"passed","Sun Jun 29 09:24:07 UTC 2025","Sun Jun 29 09:24:07 UTC 2025","128","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 2 of 20",""
"passed","Sun Jun 29 09:24:06 UTC 2025","Sun Jun 29 09:24:06 UTC 2025","101","","com.ContactList.tests.api.UserTests","","com.ContactList.tests.api.UserTests","checkAddUser","Request for adding a User",""
"passed","Sun Jun 29 09:24:09 UTC 2025","Sun Jun 29 09:24:10 UTC 2025","121","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 3 of 10",""
"passed","Sun Jun 29 09:24:11 UTC 2025","Sun Jun 29 09:24:11 UTC 2025","172","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 5 of 10",""
"passed","Sun Jun 29 09:24:08 UTC 2025","Sun Jun 29 09:24:08 UTC 2025","106","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 11 of 20",""
"passed","Sun Jun 29 09:24:10 UTC 2025","Sun Jun 29 09:24:10 UTC 2025","130","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 4 of 10",""
"passed","Sun Jun 29 09:24:09 UTC 2025","Sun Jun 29 09:24:09 UTC 2025","131","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkUpdateRandomContact","Request for editing a Contact repetition 2 of 10",""
"passed","Sun Jun 29 09:24:11 UTC 2025","Sun Jun 29 09:24:11 UTC 2025","163","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 4 of 10",""
"passed","Sun Jun 29 09:24:09 UTC 2025","Sun Jun 29 09:24:09 UTC 2025","91","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 17 of 20",""
"passed","Sun Jun 29 09:24:06 UTC 2025","Sun Jun 29 09:24:06 UTC 2025","162","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContactWithStreet","Request for adding a Contact that contains 'street' field in its payload repetition 1 of 3",""
"passed","Sun Jun 29 09:24:09 UTC 2025","Sun Jun 29 09:24:09 UTC 2025","90","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 18 of 20",""
"passed","Sun Jun 29 09:24:12 UTC 2025","Sun Jun 29 09:24:12 UTC 2025","150","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkPartiallyUpdateRandomContact","Request for partially editing a Contact repetition 9 of 10",""
"passed","Sun Jun 29 09:24:07 UTC 2025","Sun Jun 29 09:24:07 UTC 2025","97","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 5 of 20",""
"passed","Sun Jun 29 09:24:08 UTC 2025","Sun Jun 29 09:24:08 UTC 2025","101","","com.ContactList.tests.api.ContactsTests","","com.ContactList.tests.api.ContactsTests","checkAddContact","Request for adding a Contact repetition 12 of 20",""
"passed","Sun Jun 29 09:24:06 UTC 2025","Sun Jun 29 09:24:07 UTC 2025","119","","com.ContactList.tests.api.UserTests","","com.ContactList.tests.api.UserTests","checkGetUser","Request for getting a User",""
